Player,Opponent,Result,Points,Total Games
Narawitch Naenna [TH],Benny Vasquez [US],W,3,1
Narawitch Naenna [TH],Ernesto Verdugo [MX],W,6,2
Narawitch Naenna [TH],Shoma Honami [JP],L,6,3
Narawitch Naenna [TH],Shunsuke Minami [JP],L,6,4
Narawitch Naenna [TH],kazuki kobayashi [JP],W,9,5
Narawitch Naenna [TH],Patrick Connors [US],L,9,6
Luke Kroll [US],Xicheng Pan [CN],L,0,1
Luke Kroll [US],Jeudy Azzarelli [US],W,3,2
Luke Kroll [US],Omar Acuña Acevedo [CL],W,6,3
Luke Kroll [US],Hirofumi Kimura [JP],L,6,4
Luke Kroll [US],David Carrasco [ES],W,9,5
Luke Kroll [US],Aaron Brok [US],L,9,6
Luke Kroll [US],Kenneth Gamboa [MX],L,9,7
Luke Kroll [US],Giulio Tarlao [IT],L,9,8
Hidetsuna Shimizu [JP],Zachary Weed [US],W,3,1
Hidetsuna Shimizu [JP],Yuki Zaninovich [US],L,3,2
Hidetsuna Shimizu [JP],Bruno Rebello [BR],L,3,3
Hidetsuna Shimizu [JP],Caelan Brown [US],W,6,4
Hidetsuna Shimizu [JP],William Holtsbaum [CA],W,9,5
Hidetsuna Shimizu [JP],Kian Campbell [US],L,9,6
Hidetsuna Shimizu [JP],Ryan Loseto [CA],L,9,7
Hidetsuna Shimizu [JP],I-SHENG LIN [TW],L,9,8
yin fung choi [HK],William Holtsbaum [CA],W,3,1
yin fung choi [HK],Bryce Ong [US],L,3,2
yin fung choi [HK],Shohei Asakura [JP],W,6,3
yin fung choi [HK],Xicheng Pan [CN],L,6,4
yin fung choi [HK],Kylan Van Severen [CA],L,6,5
yin fung choi [HK],Kenichi Yanagitani [JP],W,9,6
yin fung choi [HK],Dylan Salvanera [US],L,9,7
yin fung choi [HK],Adam Cherfaoui [FR],L,9,8
Nicholas Morales [US],Worrachate Bosri [TH],W,3,1
Nicholas Morales [US],Vinicius Moscão Junqueira [BR],L,3,2
Nicholas Morales [US],Giulio Tarlao [IT],W,6,3
Nicholas Morales [US],Carlos Cabal [ES],L,6,4
Nicholas Morales [US],Takuya Yonemura [JP],W,9,5
Nicholas Morales [US],Paul Ruiz [EC],L,9,6
Takumi Okuo [JP],Bruno Rebello [BR],L,0,1
Takumi Okuo [JP],Sara Spiller [IT],W,3,2
Takumi Okuo [JP],Yuxiang Wang [CN],W,6,3
Takumi Okuo [JP],Toby Kongmun [AU],L,6,4
Takumi Okuo [JP],Giorgio Lorenzo Dela Cuesta [PH],L,6,5
Takumi Okuo [JP],Luca Lussignoli [IT],W,9,6
Andrew Figueras [US],Jonathan Zuniga [US],W,3,1
Andrew Figueras [US],Louis Markl [DE],L,3,2
Andrew Figueras [US],Witsarut Buadit [TH],W,6,3
Andrew Figueras [US],Alister Sandover [AU],L,6,4
Andrew Figueras [US],Flavio Del Pidio [IT],W,9,5
Andrew Figueras [US],Yuki Zaninovich [US],L,9,6
Andrew Figueras [US],Seung Lee [KR],L,9,7
Andrew Figueras [US],CHENG-LIN LEE [TW],L,9,8
Pedro Cadaval [BR],Camilo Liberona [CL],W,3,1
Pedro Cadaval [BR],Tomoki Kinoshita [JP],W,6,2
Pedro Cadaval [BR],ALEX UNDERHILL [US],L,6,3
Pedro Cadaval [BR],Zachary Mnich [US],L,6,4
Pedro Cadaval [BR],Javier Señorena [ES],W,9,5
Pedro Cadaval [BR],Gabriel Agati [BR],L,9,6
Pedro Cadaval [BR],Billy James Cubillan [PH],L,9,7
Chase Matteo [US],Luca Ceribelli [IT],L,0,1
Chase Matteo [US],Vijay Sood [US],W,3,2
Chase Matteo [US],Tsz Tung NG [HK],W,6,3
Chase Matteo [US],Yuta Ishigaki [JP],W,9,4
Chase Matteo [US],Zee Costagliola [US],L,9,5
Chase Matteo [US],Joseph Martin [UK],L,9,6
Chase Matteo [US],Estephan Valdebenito [CL],L,9,7
Chase Matteo [US],Naoto Kiriyama [JP],L,9,8
Kazuya Shiraishi [JP],Mao Harada [JP],L,0,1
Kazuya Shiraishi [JP],keisuke koga [JP],W,3,2
Kazuya Shiraishi [JP],JENN-CHAU DUH [TW],L,3,3
Kazuya Shiraishi [JP],YU PING PAI [TW],W,6,4
Kazuya Shiraishi [JP],Kusha Kanani [DE],L,6,5
Kazuya Shiraishi [JP],Diego Ferreira [AU],L,6,6
Kazuya Shiraishi [JP],Ryotaro Kimura [JP],L,6,7
Kazuya Shiraishi [JP],Haruki Sato [JP],W,9,8
Sam Pandelis [AU],Rishi Gupta [US],W,3,1
Sam Pandelis [AU],Daniel Bezerra [BR],L,3,2
Sam Pandelis [AU],Ryan Paulo Pareja [PH],W,6,3
Sam Pandelis [AU],Luca Lussignoli [IT],W,9,4
Sam Pandelis [AU],Sebastian Escalante [AR],L,9,5
Sam Pandelis [AU],Galo Orbea [EC],L,9,6
Eric Bush [US],TAKAHIRO FUTAMURA [JP],L,0,1
Eric Bush [US],Noppasorn Tangkasem [TH],W,3,2
Eric Bush [US],Ben Madigan [AU],W,6,3
Eric Bush [US],Ryan Loseto [CA],L,6,4
Eric Bush [US],Roberto Parente [IT],W,9,5
Eric Bush [US],彥博 賴 [TW],L,9,6
Thomas Schultz [DE],嘉隆 井澤 [JP],L,0,1
Thomas Schultz [DE],Masayoshi Kuroo [AU],W,3,2
Thomas Schultz [DE],Oliver Eskolin [FI],L,3,3
Thomas Schultz [DE],Aaron Traylor [US],L,3,4
Thomas Schultz [DE],Dyl Yeomans [UK],L,3,5
Thomas Schultz [DE],Connor Swikart [US],W,6,6
Thomas Schultz [DE],Nicolò Pollato [IT],L,6,7
Thomas Schultz [DE],Tomoki Kinoshita [JP],W,9,8
YU PING PAI [TW],Edward Z Fan [HK],W,3,1
YU PING PAI [TW],Alister Sandover [AU],L,3,2
YU PING PAI [TW],Giuseppe Musicco [IT],L,3,3
YU PING PAI [TW],Kazuya Shiraishi [JP],L,3,4
YU PING PAI [TW],Peter Vowles [AU],W,6,5
YU PING PAI [TW],Wonjae Kim [KR],L,6,6
YU PING PAI [TW],Yuki Ishikawa [JP],W,9,7
YU PING PAI [TW],Cruz Ting [TW],L,9,8
Simon Bernard [AT],Koji Kanamori [JP],W,3,1
Simon Bernard [AT],Grant Laird [US],L,3,2
Simon Bernard [AT],Nicholas Kan [AU],L,3,3
Simon Bernard [AT],蔡 皓宇 [TW],W,6,4
Simon Bernard [AT],Angelo Piscitelli [IT],L,6,5
Simon Bernard [AT],Yuki Ishikawa [JP],W,9,6
Simon Bernard [AT],alexander canseco [MX],L,9,7
Simon Bernard [AT],Marcus Koh [SG],L,9,8
Matthew So [US],Nils Dunlop [SE],W,3,1
Matthew So [US],Frederik Nielsen [DK],W,6,2
Matthew So [US],PIN CHUN LIN [TW],L,6,3
Matthew So [US],Len Deuel [US],L,6,4
Matthew So [US],Yichun Wu [CN],W,9,5
Matthew So [US],Oscar Gilley [UK],L,9,6
Matthew So [US],Toler Webb [US],L,9,7
Matthew So [US],Shonosuke Ikari [JP],L,9,8
Hirotoshi Mori [JP],Christian Mossati [AU],L,0,1
Hirotoshi Mori [JP],Dominic Vogel [US],W,3,2
Hirotoshi Mori [JP],Shunsuke Minami [JP],L,3,3
Hirotoshi Mori [JP],David Carrasco [ES],L,3,4
Hirotoshi Mori [JP],CHENG-LIN LEE [TW],L,3,5
Hirotoshi Mori [JP],HIROKI KUSAFUKA [JP],W,6,6
Hirotoshi Mori [JP],Koji Kanamori [JP],L,6,7
Hirotoshi Mori [JP],Ismat Myron Beg [MY],W,9,8
Tomoyuki Tanaka [SG],Giulio Tarlao [IT],L,0,1
Tomoyuki Tanaka [SG],Gustavo kengo [BR],W,3,2
Tomoyuki Tanaka [SG],Pavel Valencia-Acuna [MX],W,6,3
Tomoyuki Tanaka [SG],Michael Navas [AU],L,6,4
Tomoyuki Tanaka [SG],Victor Vieira [BR],L,6,5
Tomoyuki Tanaka [SG],Marco Marras [IT],L,6,6
Tomoyuki Tanaka [SG],Junhyuk Song [KR],W,9,7
Tomoyuki Tanaka [SG],June Lintner [US],L,9,8
Andrew Zheng [US],Seongjae Jeong [KR],L,0,1
Andrew Zheng [US],I-HSIANG CHANG [TW],W,3,2
Andrew Zheng [US],Siu Wai Kwok [HK],W,6,3
Andrew Zheng [US],Giovanni Costa [US],W,9,4
Andrew Zheng [US],Daanvir Singh Narula [SG],L,9,5
Andrew Zheng [US],Yan Sym [BR],L,9,6
David Rodriguez [CR],Thomas Irwin [US],W,3,1
David Rodriguez [CR],Ryoma Okamoto [JP],L,3,2
David Rodriguez [CR],Kevin Salvetto [IT],L,3,3
David Rodriguez [CR],Seongjae Jeong [KR],W,6,4
David Rodriguez [CR],Alberto Cañuelo Gómez [ES],L,6,5
David Rodriguez [CR],Mark Mullender [NL],L,6,6
David Rodriguez [CR],Donguk Jung [KR],W,9,7
David Rodriguez [CR],Ernesto Verdugo [MX],L,9,8
Nicolò Pollato [IT],Zhe Zhang [CN],W,3,1
Nicolò Pollato [IT],Mitch Kendrick [AU],W,6,2
Nicolò Pollato [IT],Jaesung Lee [KR],L,6,3
Nicolò Pollato [IT],Takuto Notohara [JP],L,6,4
Nicolò Pollato [IT],Joseph Ugarte [US],L,6,5
Nicolò Pollato [IT],Kenneth Gamboa [MX],L,6,6
Nicolò Pollato [IT],Thomas Schultz [DE],W,9,7
Nicolò Pollato [IT],David Carrasco [ES],L,9,8
Marco Antonio Rodriguez Garcia [MX],Giovanni Costa [US],L,0,1
Marco Antonio Rodriguez Garcia [MX],Carlos Cabal [ES],L,0,2
Marco Antonio Rodriguez Garcia [MX],Koji Kanamori [JP],L,0,3
Marco Antonio Rodriguez Garcia [MX],Shawn Tang [SG],W,3,4
Marco Antonio Rodriguez Garcia [MX],Chieh Ling Li [TW],W,6,5
Marco Antonio Rodriguez Garcia [MX],William Holtsbaum [CA],L,6,6
Marco Antonio Rodriguez Garcia [MX],Juan José Mejia Tasayco [PE],W,9,7
Marco Antonio Rodriguez Garcia [MX],Riley Factura [US],L,9,8
Francesco Di Biase [IT],James Katsaros [AU],W,3,1
Francesco Di Biase [IT],James Baek [US],L,3,2
Francesco Di Biase [IT],Roberto Parente [IT],L,3,3
Francesco Di Biase [IT],Diego Gutierrez [PE],W,6,4
Francesco Di Biase [IT],Tomoki Kinoshita [JP],W,9,5
Francesco Di Biase [IT],Juan Lucin [EC],L,9,6
Francesco Di Biase [IT],Christian Mossati [AU],L,9,7
Francesco Di Biase [IT],Aldo Loyola [MX],L,9,8
Cheong Suwoong [KR],Brady Smith [US],L,0,1
Cheong Suwoong [KR],Camilo Liberona [CL],W,3,2
Cheong Suwoong [KR],Ashton Cox [US],L,3,3
Cheong Suwoong [KR],Xavier Méndez [MX],W,6,4
Cheong Suwoong [KR],Sidy Badiane [IT],W,9,5
Cheong Suwoong [KR],Ferdinando Vincenti [IT],L,9,6
Omar Acuña Acevedo [CL],choi jeongkyu [KR],L,0,1
Omar Acuña Acevedo [CL],CHENG-LIN LEE [TW],W,3,2
Omar Acuña Acevedo [CL],Luke Kroll [US],L,3,3
Omar Acuña Acevedo [CL],Forhad Chodhoury [ES],L,3,4
Omar Acuña Acevedo [CL],Jiven Reddy [ZA],W,6,5
Omar Acuña Acevedo [CL],Kaoru Ueki [JP],L,6,6
Omar Acuña Acevedo [CL],Tomoki Kinoshita [JP],W,9,7
Omar Acuña Acevedo [CL],Yuta Uehara [JP],L,9,8
Sidy Badiane [IT],Nikolaj Høj Nielsen [DK],L,0,1
Sidy Badiane [IT],Diego Ferreira [AU],L,0,2
Sidy Badiane [IT],Alvin Rambano [PH],W,3,3
Sidy Badiane [IT],Alessio Fuscà [IT],W,6,4
Sidy Badiane [IT],Cheong Suwoong [KR],L,6,5
Sidy Badiane [IT],Yichun Wu [CN],W,9,6
Sidy Badiane [IT],Markus Hamann [DE],L,9,7
Sidy Badiane [IT],Davide Carrer [IT],L,9,8
Yotam Cohen [US],Max Morales [CR],L,0,1
Yotam Cohen [US],Pavel Valencia-Acuna [MX],L,0,2
Yotam Cohen [US],Sara Spiller [IT],W,3,3
Yotam Cohen [US],Francisco Alca Chacon [PE],W,6,4
Yotam Cohen [US],Giulio Tarlao [IT],L,6,5
Yotam Cohen [US],cristhian andrade [BR],W,9,6
Yotam Cohen [US],Jim Sullivan [AU],L,9,7
Yotam Cohen [US],Jonathan Zuniga [US],L,9,8
Witsarut Buadit [TH],Yan Sym [BR],L,0,1
Witsarut Buadit [TH],Eden Batchelor [UK],W,3,2
Witsarut Buadit [TH],Andrew Figueras [US],L,3,3
Witsarut Buadit [TH],juan salerno [AR],L,3,4
Witsarut Buadit [TH],Alvin Rambano [PH],W,6,5
Witsarut Buadit [TH],Sara Spiller [IT],W,9,6
Witsarut Buadit [TH],Kaoru Ueki [JP],L,9,7
Chih-Chun Liang [TW],Yoav Reuven [AU],L,0,1
Chih-Chun Liang [TW],Wonjae Kim [KR],L,0,2
Chih-Chun Liang [TW],I-HSIANG CHANG [TW],W,3,3
Chih-Chun Liang [TW],Oliver Ramsay [AU],W,6,4
Chih-Chun Liang [TW],Yuta Ishigaki [JP],L,6,5
Chih-Chun Liang [TW],Diego Aguirre [CA],L,6,6
Chih-Chun Liang [TW],Worrachate Bosri [TH],W,9,7
Chih-Chun Liang [TW],Koji Kanamori [JP],L,9,8
Juan José Mejia Tasayco [PE],Angelo Piscitelli [IT],L,0,1
Juan José Mejia Tasayco [PE],Walid Souak [DZ],W,3,2
Juan José Mejia Tasayco [PE],Diego Ortiz [PE],W,6,3
Juan José Mejia Tasayco [PE],Tom Winter [UK],L,6,4
Juan José Mejia Tasayco [PE],Hanns Pizarro [PE],L,6,5
Juan José Mejia Tasayco [PE],Daniel Yu [US],L,6,6
Juan José Mejia Tasayco [PE],Marco Antonio Rodriguez Garcia [MX],L,6,7
Juan José Mejia Tasayco [PE],Chung Yin Wong [HK],W,9,8
Kenichi Yanagitani [JP],ZHIYUAN WANG [CN],W,3,1
Kenichi Yanagitani [JP],Yuki Tanaka [JP],L,3,2
Kenichi Yanagitani [JP],Rishi Gupta [US],W,6,3
Kenichi Yanagitani [JP],I-SHENG LIN [TW],L,6,4
Kenichi Yanagitani [JP],ginjiro shiraki [JP],L,6,5
Kenichi Yanagitani [JP],yin fung choi [HK],L,6,6
Kenichi Yanagitani [JP],Naoto Kiriyama [JP],L,6,7
Kenichi Yanagitani [JP],Jin Yang Lee [MY],W,9,8
Worrachate Bosri [TH],Nicholas Morales [US],L,0,1
Worrachate Bosri [TH],Dyl Yeomans [UK],L,0,2
Worrachate Bosri [TH],Juan Lucin [EC],L,0,3
Worrachate Bosri [TH],JEONGBIN CHO [KR],W,3,4
Worrachate Bosri [TH],Scott Kennedy [AU],L,3,5
Worrachate Bosri [TH],Francisco Alca Chacon [PE],W,6,6
Worrachate Bosri [TH],Chih-Chun Liang [TW],L,6,7
Worrachate Bosri [TH],蔡 皓宇 [TW],W,9,8
Rahim Farzan [DE],Alister Sandover [AU],L,0,1
Rahim Farzan [DE],ZHIYUAN WANG [CN],L,0,2
Rahim Farzan [DE],Chin Lien [TW],W,3,3
Rahim Farzan [DE],Jean López [CR],L,3,4
Rahim Farzan [DE],Raj Desai [IE],W,6,5
Rahim Farzan [DE],Paul Oliver Bautista [PH],W,9,6
Rahim Farzan [DE],Shohei Asakura [JP],L,9,7
Rahim Farzan [DE],Ryotaro Kimura [JP],L,9,8
SHIH-CHUN LO [TW],Víctor Medina [ES],L,0,1
SHIH-CHUN LO [TW],Ismat Myron Beg [MY],W,3,2
SHIH-CHUN LO [TW],Toby Kongmun [AU],L,3,3
SHIH-CHUN LO [TW],Yoshimasa Hayakawa [JP],L,3,4
SHIH-CHUN LO [TW],Jin Yang Lee [MY],L,3,5
SHIH-CHUN LO [TW],Justin Won [US],W,6,6
SHIH-CHUN LO [TW],David Carrasco [ES],L,6,7
SHIH-CHUN LO [TW],Arthur Mosca [MX],W,9,8
Edward Z Fan [HK],YU PING PAI [TW],L,0,1
Edward Z Fan [HK],Shawn Tang [SG],W,3,2
Edward Z Fan [HK],Zachary Weed [US],L,3,3
Edward Z Fan [HK],Alex Gómez Berna [ES],W,6,4
Edward Z Fan [HK],Antonio Sánchez [ES],L,6,5
Edward Z Fan [HK],TSE-YU LIN [TW],W,9,6
Edward Z Fan [HK],Mark Cotter [IE],L,9,7
Edward Z Fan [HK],Eric Rios [ES],L,9,8
Michael Vono [CA],Arath Alejandro Vera Almaraz [MX],L,0,1
Michael Vono [CA],Samuel Pereira [ES],L,0,2
Michael Vono [CA],Gustavo kengo [BR],W,3,3
Michael Vono [CA],Joshua Denk [US],L,3,4
Michael Vono [CA],Alex Gómez Berna [ES],W,6,5
Michael Vono [CA],Mingi Kim [KR],L,6,6
Michael Vono [CA],Carlos Alberto Agarie Junior [BR],W,9,7
Michael Vono [CA],Yoshimasa Hayakawa [JP],L,9,8
Caelan Brown [US],Peter Vowles [AU],W,3,1
Caelan Brown [US],Aditya Subramanian [US],L,3,2
Caelan Brown [US],Matt Maynard [UK],L,3,3
Caelan Brown [US],Hidetsuna Shimizu [JP],L,3,4
Caelan Brown [US],Francisco Alca Chacon [PE],W,6,5
Caelan Brown [US],Markus Hamann [DE],L,6,6
Caelan Brown [US],Arthur Mosca [MX],W,9,7
Caelan Brown [US],KEVIN LAN [TW],L,9,8
wataru kawashima [JP],Yuki Tanaka [JP],L,0,1
wataru kawashima [JP],Yichun Wu [CN],W,3,2
wataru kawashima [JP],Flavio Del Pidio [IT],L,3,3
wataru kawashima [JP],Yosuke Takayanagi [JP],W,6,4
wataru kawashima [JP],Riley Factura [US],L,6,5
wataru kawashima [JP],kentaro matsumoto [JP],L,6,6
wataru kawashima [JP],ChihChun Chen [TW],W,9,7
wataru kawashima [JP],Len Deuel [US],L,9,8
Noppasorn Tangkasem [TH],WEI CHYR [TW],L,0,1
Noppasorn Tangkasem [TH],Eric Bush [US],L,0,2
Noppasorn Tangkasem [TH],ginjiro shiraki [JP],L,0,3
Noppasorn Tangkasem [TH],Daniel Yu [US],L,0,4
Noppasorn Tangkasem [TH],Kyle Livinghouse [US],W,3,5
Noppasorn Tangkasem [TH],Chung Yin Wong [HK],W,6,6
Noppasorn Tangkasem [TH],TSE-YU LIN [TW],L,6,7
Noppasorn Tangkasem [TH],Yuki Ishikawa [JP],W,9,8
TSE-YU LIN [TW],Jim Sullivan [AU],L,0,1
TSE-YU LIN [TW],Roberto Parente [IT],L,0,2
TSE-YU LIN [TW],hong sunghyeon [KR],W,3,3
TSE-YU LIN [TW],Diego Ortiz [PE],W,6,4
TSE-YU LIN [TW],Oscar Gilley [UK],L,6,5
TSE-YU LIN [TW],Edward Z Fan [HK],L,6,6
TSE-YU LIN [TW],Noppasorn Tangkasem [TH],W,9,7
TSE-YU LIN [TW],Benny Vasquez [US],L,9,8
Xavier Méndez [MX],Jin-Hao Jiang [TW],L,0,1
Xavier Méndez [MX],Yosuke Takayanagi [JP],L,0,2
Xavier Méndez [MX],Ying Kiat Tan [SG],W,3,3
Xavier Méndez [MX],Cheong Suwoong [KR],L,3,4
Xavier Méndez [MX],Chin Lien [TW],W,6,5
Xavier Méndez [MX],Yuxiang Wang [CN],L,6,6
Xavier Méndez [MX],Shai Giuseppe Rabà [IT],W,9,7
Xavier Méndez [MX],Kusha Kanani [DE],L,9,8
Francisco Alca Chacon [PE],Nick Navarre [US],L,0,1
Francisco Alca Chacon [PE],Matt Maynard [UK],L,0,2
Francisco Alca Chacon [PE],Carlos Alberto Agarie Junior [BR],W,3,3
Francisco Alca Chacon [PE],Yotam Cohen [US],L,3,4
Francisco Alca Chacon [PE],Caelan Brown [US],L,3,5
Francisco Alca Chacon [PE],Worrachate Bosri [TH],L,3,6
Francisco Alca Chacon [PE],Justin Won [US],W,6,7
Francisco Alca Chacon [PE],Vijay Sood [US],W,9,8
Peter Vowles [AU],Caelan Brown [US],L,0,1
Peter Vowles [AU],Zachary Weed [US],L,0,2
Peter Vowles [AU],Scott Kennedy [AU],W,3,3
Peter Vowles [AU],Takuya Yonemura [JP],L,3,4
Peter Vowles [AU],YU PING PAI [TW],L,3,5
Peter Vowles [AU],Dawei Si [CN],L,3,6
Peter Vowles [AU],Chung Yin Wong [HK],W,6,7
Peter Vowles [AU],Kota Uchiyama [JP],W,9,8
Daniel Yu [US],Aditya Subramanian [US],L,0,1
Daniel Yu [US],kentaro matsumoto [JP],L,0,2
Daniel Yu [US],Dillon Kleinvehn [US],L,0,3
Daniel Yu [US],Noppasorn Tangkasem [TH],W,3,4
Daniel Yu [US],Seongjae Jeong [KR],W,6,5
Daniel Yu [US],Juan José Mejia Tasayco [PE],W,9,6
Daniel Yu [US],Bryce Ong [US],L,9,7
Daniel Nuñez [MX],Miguel Paquete [PT],L,0,1
Daniel Nuñez [MX],Javier Ponce [CL],L,0,2
Daniel Nuñez [MX],Benny Vasquez [US],W,3,3
Daniel Nuñez [MX],Wonjae Kim [KR],L,3,4
Daniel Nuñez [MX],Alejandro Terrazas [MX],W,6,5
Daniel Nuñez [MX],Junhyuk Song [KR],W,9,6
Daniel Nuñez [MX],ZHIYUAN WANG [CN],L,9,7
Siu Wai Kwok [HK],Longyu Lin [CN],L,0,1
Siu Wai Kwok [HK],Olivia Moledzki [CA],W,3,2
Siu Wai Kwok [HK],Andrew Zheng [US],L,3,3
Siu Wai Kwok [HK],Hiroki Kimura [JP],L,3,4
Siu Wai Kwok [HK],Gustavo kengo [BR],L,3,5
Siu Wai Kwok [HK],Javier Freire [ES],L,3,6
Siu Wai Kwok [HK],Connor Swikart [US],W,6,7
Siu Wai Kwok [HK],Shai Giuseppe Rabà [IT],W,9,8
Donguk Jung [KR],Junxi Zhu [US],L,0,1
Donguk Jung [KR],Jean López [CR],L,0,2
Donguk Jung [KR],YUAN MING CHIU [TW],W,3,3
Donguk Jung [KR],William Holtsbaum [CA],L,3,4
Donguk Jung [KR],Marco Marras [IT],L,3,5
Donguk Jung [KR],Shawn Tang [SG],W,6,6
Donguk Jung [KR],David Rodriguez [CR],L,6,7
Donguk Jung [KR],ChihChun Chen [TW],W,9,8
Roman Manukjan [DE],Daniel Bezerra [BR],L,0,1
Roman Manukjan [DE],Selahattin Sturm [DE],W,3,2
Roman Manukjan [DE],Kazuma Sobashima [JP],L,3,3
Roman Manukjan [DE],Connor Swikart [US],W,6,4
Roman Manukjan [DE],彥博 賴 [TW],L,6,5
Roman Manukjan [DE],Oliver Ramsay [AU],L,6,6
Roman Manukjan [DE],Javier Ponce [CL],W,9,7
Roman Manukjan [DE],PING-JUNG LEE [TW],L,9,8
Dawei Si [CN],Javier Nain [CL],L,0,1
Dawei Si [CN],Len Deuel [US],L,0,2
Dawei Si [CN],Davide Miraglia [IT],L,0,3
Dawei Si [CN],Jonathan Zuniga [US],L,0,4
Dawei Si [CN],Vijay Sood [US],W,3,5
Dawei Si [CN],Peter Vowles [AU],W,6,6
Dawei Si [CN],Yichun Wu [CN],W,9,7
Dawei Si [CN],Yuta Ishigaki [JP],L,9,8
Genting Liu [CN],Ryan Haig [US],L,0,1
Genting Liu [CN],William Holtsbaum [CA],L,0,2
Genting Liu [CN],Yichun Wu [CN],L,0,3
Genting Liu [CN],Tsz Hin Lam [HK],W,3,4
Genting Liu [CN],Chung Yin Wong [HK],W,6,5
Genting Liu [CN],Takuya Yonemura [JP],W,9,6
Genting Liu [CN],Diego Aguirre [CA],L,9,7
Genting Liu [CN],Ryan Paulo Pareja [PH],L,9,8
Yichun Wu [CN],Yuta Uehara [JP],L,0,1
Yichun Wu [CN],wataru kawashima [JP],L,0,2
Yichun Wu [CN],Genting Liu [CN],W,3,3
Yichun Wu [CN],Darsh Patel [US],W,6,4
Yichun Wu [CN],Matthew So [US],L,6,5
Yichun Wu [CN],Sidy Badiane [IT],L,6,6
Yichun Wu [CN],Dawei Si [CN],L,6,7
Yichun Wu [CN],YUAN MING CHIU [TW],W,9,8
Chin Lien [TW],Mark Cotter [IE],L,0,1
Chin Lien [TW],Toler Webb [US],L,0,2
Chin Lien [TW],Rahim Farzan [DE],L,0,3
Chin Lien [TW],I-HSIANG CHANG [TW],W,3,4
Chin Lien [TW],Xavier Méndez [MX],L,3,5
Chin Lien [TW],蔡 皓宇 [TW],W,6,6
Chin Lien [TW],Vijay Sood [US],L,6,7
Chin Lien [TW],HIROKI KUSAFUKA [JP],W,9,8
Carlos Alberto Agarie Junior [BR],Shohei Kimura [JP],L,0,1
Carlos Alberto Agarie Junior [BR],Femi Jordanovic [UK],L,0,2
Carlos Alberto Agarie Junior [BR],Francisco Alca Chacon [PE],L,0,3
Carlos Alberto Agarie Junior [BR],Walid Souak [DZ],L,0,4
Carlos Alberto Agarie Junior [BR],Tsz Hin Lam [HK],W,3,5
Carlos Alberto Agarie Junior [BR],Tsz Tung NG [HK],W,6,6
Carlos Alberto Agarie Junior [BR],Michael Vono [CA],L,6,7
Carlos Alberto Agarie Junior [BR],Javier Ponce [CL],W,9,8
Ruben Gianzini [IT],Taran Birdee [UK],W,3,1
Ruben Gianzini [IT],Mark Cotter [IE],W,6,2
Ruben Gianzini [IT],Jack Roth [AU],L,6,3
Ruben Gianzini [IT],Femi Jordanovic [UK],L,6,4
Ruben Gianzini [IT],Daniel Marcelo Reyes [US],L,6,5
Kazuma Sobashima [JP],Gabriel Llansó [ES],W,3,1
Kazuma Sobashima [JP],Katsuhiko Minami [JP],L,3,2
Kazuma Sobashima [JP],Roman Manukjan [DE],W,6,3
Kazuma Sobashima [JP],Taran Birdee [UK],L,6,4
Kazuma Sobashima [JP],Pavel Valencia-Acuna [MX],L,6,5
Miguel Paquete [PT],Daniel Nuñez [MX],W,3,1
Miguel Paquete [PT],Théotime Massaut [FR],W,6,2
Miguel Paquete [PT],Raghav Malaviya [US],L,6,3
Miguel Paquete [PT],くにのり 田中邦宜 [JP],L,6,4
Miguel Paquete [PT],Louis Milich [US],L,6,5
Joan Garcia [ES],Tom Winter [UK],W,3,1
Joan Garcia [ES],Cary D'Ortona [US],W,6,2
Joan Garcia [ES],Sam Tabner [UK],L,6,3
Joan Garcia [ES],Jim Sullivan [AU],L,6,4
Joan Garcia [ES],Paul Chua [US],L,6,5
Luca Lussignoli [IT],Matteo Velata [IT],W,3,1
Luca Lussignoli [IT],Longyu Lin [CN],L,3,2
Luca Lussignoli [IT],Jin Yang Lee [MY],W,6,3
Luca Lussignoli [IT],Sam Pandelis [AU],L,6,4
Luca Lussignoli [IT],juan salerno [AR],L,6,5
Luca Lussignoli [IT],Takumi Okuo [JP],L,6,6
Manuel Hernandez Marin [ES],Shunsuke Minami [JP],W,3,1
Manuel Hernandez Marin [ES],Cedric Bernier [US],L,3,2
Manuel Hernandez Marin [ES],Paul Ruiz [EC],L,3,3
Manuel Hernandez Marin [ES],Dyl Yeomans [UK],W,6,4
Manuel Hernandez Marin [ES],Giovanni Costa [US],L,6,5
Manuel Hernandez Marin [ES],PING-JUNG LEE [TW],L,6,6
Manuel Hernandez Marin [ES],Paul Oliver Bautista [PH],L,6,7
Brady Smith [US],Cheong Suwoong [KR],W,3,1
Brady Smith [US],Shonosuke Ikari [JP],L,3,2
Brady Smith [US],Shai Giuseppe Rabà [IT],W,6,3
Brady Smith [US],Ryan Powney [IE],L,6,4
Brady Smith [US],Munenori Okumura [JP],L,6,5
Adrián Isidoro [ES],Victor Vieira [BR],W,3,1
Adrián Isidoro [ES],Andrew Ding [US],L,3,2
Adrián Isidoro [ES],Femi Jordanovic [UK],L,3,3
Adrián Isidoro [ES],Stefano Greppi [IT],W,6,4
Adrián Isidoro [ES],Ryosuke Kosuge [JP],L,6,5
Roberto Parente [IT],Andrew Ding [US],L,0,1
Roberto Parente [IT],TSE-YU LIN [TW],W,3,2
Roberto Parente [IT],Francesco Di Biase [IT],W,6,3
